id;ongame_id;nick_name;reg_date;last_date;photo_path;photo_path_content_type;ip
1;Practical Metal Cheese Interna;Health ability;2020-11-22;2020-11-22;../fake-data/blob/hipster.png;image/png;Games engage
2;interactive;Washington vortals;2020-11-22;2020-11-23;../fake-data/blob/hipster.png;image/png;Factors Savings Account microc
3;Brand e-commerce;Guarani generate National;2020-11-22;2020-11-22;../fake-data/blob/hipster.png;image/png;Specialist Program
4;interface Representative Tasty;AGPX;2020-11-23;2020-11-22;../fake-data/blob/hipster.png;image/png;deposit e-tailers bypass
5;support Burg scalable;synthesize Chips;2020-11-22;2020-11-22;../fake-data/blob/hipster.png;image/png;web-readiness
6;Sleek;Ball Uzbekistan;2020-11-23;2020-11-22;../fake-data/blob/hipster.png;image/png;Cambridgeshire transmitting
7;Parkway Berkshire;Naira input;2020-11-23;2020-11-22;../fake-data/blob/hipster.png;image/png;Practical
8;channels Practical Frozen Chai;Greens transitional Associate;2020-11-23;2020-11-23;../fake-data/blob/hipster.png;image/png;synthesize
9;Senior;capability Metal withdrawal;2020-11-22;2020-11-22;../fake-data/blob/hipster.png;image/png;architectures
10;Handmade;Unbranded Wooden Mouse;2020-11-23;2020-11-23;../fake-data/blob/hipster.png;image/png;Walks
